image_path_full,image_path_relative,label_path_full,label_path_relative,image_exists,label_exists,corrupted,image_hash,image_format,width,height,channels,is_duplicate,classes,num_classes,image_id
/content/clothing-coparsing-dataset/images/0001.jpg,images/0001.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0001.png,labels/pixel_level_labels_colored/0001.png,True,True,False,9349b423c4d40aea33b9334be15050ef,jpeg,550,832,3,False,"['hair', 'shoes', 'skin', 'blouse', 'skirt', 'stockings', 'sunglasses', 'vest']",8,1
/content/clothing-coparsing-dataset/images/0002.jpg,images/0002.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0002.png,labels/pixel_level_labels_colored/0002.png,True,True,False,7d2824d0e04ca4fa0575fb88173a7cc1,jpeg,550,830,3,False,"['pumps', 'jacket', 'hair', 'dress', 'skin', 'socks']",6,2
/content/clothing-coparsing-dataset/images/0003.jpg,images/0003.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0003.png,labels/pixel_level_labels_colored/0003.png,True,True,False,b3671739ed055b6b2cb21bd12fab7627,jpeg,550,831,3,False,"['pants', 'purse', 'necklace', 'jacket', 'hair', 'dress', 'coat', 'skin', 'boots', 'bag', 'belt', 'blouse', 'sunglasses']",13,3
/content/clothing-coparsing-dataset/images/0004.jpg,images/0004.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0004.png,labels/pixel_level_labels_colored/0004.png,True,True,False,886cfd5b1269d5c7d2566a202395ce4d,jpeg,550,810,3,False,"['pants', 'hat', 'shirt', 'glasses', 'shoes', 'coat', 'skin', 'bag', 'sweater']",9,4
/content/clothing-coparsing-dataset/images/0005.jpg,images/0005.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0005.png,labels/pixel_level_labels_colored/0005.png,True,True,False,cb5c8591a2e29740db0601be07d80cc4,jpeg,550,842,3,False,"['purse', 'hair', 'shoes', 'dress', 'cape', 'skin', 'sunglasses', 'vest']",8,5
/content/clothing-coparsing-dataset/images/0006.jpg,images/0006.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0006.png,labels/pixel_level_labels_colored/0006.png,True,True,False,0406864aee6db275f602894baab2e922,jpeg,550,828,3,False,"['purse', 'leggings', 'hair', 'shoes', 'skin', 'blazer', 'skirt', 'vest']",8,6
/content/clothing-coparsing-dataset/images/0007.jpg,images/0007.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0007.png,labels/pixel_level_labels_colored/0007.png,True,True,False,dabdace4f335b744bc0f03c4812250e9,jpeg,550,826,3,False,"['purse', 'hair', 'shoes', 'skin', 'blouse', 'skirt']",6,7
/content/clothing-coparsing-dataset/images/0008.jpg,images/0008.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0008.png,labels/pixel_level_labels_colored/0008.png,True,True,False,3b520640b8d3bf4e79f5596ff7ec51f1,jpeg,550,832,3,False,"['pants', 'shirt', 'hair', 'shoes', 'skin', 'belt', 'socks', 'suit', 'sweater']",9,8
/content/clothing-coparsing-dataset/images/0009.jpg,images/0009.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0009.png,labels/pixel_level_labels_colored/0009.png,True,True,False,39932c5d755a061b9c490a9b71b08a09,jpeg,550,817,3,False,"['hair', 'shoes', 'dress', 'coat', 'skin', 'bag', 'stockings', 'sunglasses', 'sweater']",9,9
/content/clothing-coparsing-dataset/images/0010.jpg,images/0010.jpg,/content/clothing-coparsing-dataset/labels/pixel_level_labels_colored/0010.png,labels/pixel_level_labels_colored/0010.png,True,True,False,41d30c21763250bd6f70bcdcc91b6662,jpeg,550,825,3,False,"['hair', 'shoes', 'dress', 'skin', 'blouse']",5,10
